Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,981.95,997.00,970.05,980.05,995.00,993.95,986.36,"1,214.90",773.35,"962,543","949,412,733.50","28,488"
23-Jun-2023,EQ,"1,008.90","1,009.00",976.40,"1,004.55",979.85,980.05,989.33,"1,214.90",773.35,"1,289,496","1,275,738,444.25","40,211"
22-Jun-2023,EQ,"1,003.50","1,009.80",992.20,997.20,"1,004.15","1,004.55","1,002.61","1,214.90",773.35,"1,685,291","1,689,695,391.90","41,551"
21-Jun-2023,EQ,988.45,999.00,977.15,983.50,996.30,997.20,991.00,"1,214.90",773.35,"1,757,441","1,741,616,119.65","43,405"
20-Jun-2023,EQ,980.00,986.00,974.05,978.45,984.50,983.50,981.56,"1,214.90",773.35,"1,267,022","1,243,653,876.05","23,644"
19-Jun-2023,EQ,972.40,980.00,967.80,970.95,977.75,978.45,976.04,"1,214.90",773.35,"1,155,057","1,127,378,768.80","26,718"
16-Jun-2023,EQ,959.00,972.75,956.00,958.50,970.90,970.95,966.27,"1,214.90",773.35,"1,397,816","1,350,666,617.00","35,147"
15-Jun-2023,EQ,969.00,970.80,953.50,977.95,955.40,958.50,961.94,"1,214.90",773.35,"3,592,424","3,455,685,175.10","78,056"
14-Jun-2023,EQ,973.95,981.90,957.90,"1,000.05",978.60,977.95,973.96,"1,214.90",773.35,"3,249,390","3,164,771,631.25","88,944"
13-Jun-2023,EQ,990.00,"1,006.00",989.05,987.75,999.50,"1,000.05","1,000.85","1,214.90",773.35,"1,236,924","1,237,977,453.25","42,495"
12-Jun-2023,EQ,990.00,991.85,983.15,985.95,989.00,987.75,986.50,"1,214.90",773.35,"601,656","593,532,046.60","18,776"
09-Jun-2023,EQ,"1,004.00","1,008.10",981.15,"1,003.25",986.60,985.95,990.66,"1,214.90",773.35,"959,079","950,123,665.85","29,470"
08-Jun-2023,EQ,999.00,"1,015.00",997.05,994.75,"1,003.85","1,003.25","1,006.96","1,214.90",773.35,"1,389,967","1,399,640,697.30","39,624"
07-Jun-2023,EQ,997.45,"1,000.00",991.30,993.75,995.00,994.75,994.94,"1,214.90",773.35,"485,131","482,677,574.45","16,591"
06-Jun-2023,EQ,"1,000.00","1,007.10",988.80,995.55,995.00,993.75,997.50,"1,214.90",773.35,"966,295","963,880,466.05","34,710"
05-Jun-2023,EQ,979.60,"1,017.95",976.85,969.80,998.50,995.55,"1,004.26","1,214.90",773.35,"5,155,439","5,177,398,710.35","105,012"
02-Jun-2023,EQ,970.00,979.40,968.00,968.95,968.55,969.80,972.98,"1,214.90",773.35,"516,827","502,861,579.45","17,017"
01-Jun-2023,EQ,972.00,976.90,966.15,970.60,967.00,968.95,971.49,"1,214.90",773.35,"414,830","403,001,856.20","18,683"
31-May-2023,EQ,971.00,972.50,964.00,969.10,971.90,970.60,968.50,"1,214.90",773.35,"710,320","687,943,987.20","21,327"
30-May-2023,EQ,974.40,975.00,963.50,971.85,970.00,969.10,968.93,"1,214.90",773.35,"477,951","463,102,247.90","19,276"
29-May-2023,EQ,972.30,975.85,967.65,970.25,971.90,971.85,971.56,"1,214.90",773.35,"456,813","443,819,520.45","14,376"
26-May-2023,EQ,960.00,972.25,955.00,956.70,969.50,970.25,965.49,"1,214.90",773.35,"702,059","677,828,873.20","21,565"
25-May-2023,EQ,988.45,989.65,946.05,987.10,958.40,956.70,960.07,"1,214.90",773.35,"1,620,350","1,555,654,148.60","52,122"
24-May-2023,EQ,984.20,998.65,975.00,981.90,988.50,987.10,990.79,"1,214.90",773.35,"728,156","721,452,196.75","24,053"
23-May-2023,EQ,987.00,994.00,980.00,987.20,981.80,981.90,988.30,"1,214.90",773.35,"627,065","619,729,669.15","17,354"
22-May-2023,EQ,986.95,994.00,975.50,984.15,987.00,987.20,986.95,"1,214.90",773.35,"667,367","658,659,649.60","14,471"
19-May-2023,EQ,989.40,991.00,974.35,984.65,985.00,984.15,981.65,"1,214.90",773.35,"845,534","830,017,379.65","19,937"
18-May-2023,EQ,987.95,992.50,980.05,982.10,985.00,984.65,986.31,"1,214.90",773.35,"683,500","674,144,679.75","19,172"
17-May-2023,EQ,980.00,984.55,966.60,976.80,984.55,982.10,976.01,"1,214.90",773.35,"779,613","760,912,969.15","19,447"
