Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,547.50","1,579.90","1,529.10","1,560.85","1,564.55","1,569.15","1,560.37","1,674.00",905.05,"699,266","1,091,113,155.00","39,915"
23-Jun-2023,EQ,"1,580.45","1,589.70","1,555.55","1,577.60","1,559.00","1,560.85","1,567.34","1,674.00",858.0,"560,598","878,649,109.75","35,721"
22-Jun-2023,EQ,"1,613.55","1,623.55","1,571.00","1,613.55","1,579.50","1,577.60","1,587.68","1,674.00",858.0,"525,643","834,553,407.15","25,117"
21-Jun-2023,EQ,"1,621.00","1,630.00","1,586.35","1,612.75","1,605.50","1,613.55","1,612.42","1,674.00",858.0,"588,578","949,035,737.75","28,836"
20-Jun-2023,EQ,"1,599.00","1,623.80","1,589.85","1,591.05","1,620.00","1,612.75","1,608.14","1,674.00",858.0,"574,501","923,879,426.85","24,819"
19-Jun-2023,EQ,"1,635.00","1,665.00","1,579.00","1,628.45","1,592.00","1,591.05","1,595.16","1,674.00",858.0,"1,151,061","1,836,125,616.90","40,924"
16-Jun-2023,EQ,"1,632.00","1,660.35","1,625.00","1,629.25","1,629.95","1,628.45","1,636.90","1,674.00",856.25,"709,583","1,161,518,640.55","28,315"
15-Jun-2023,EQ,"1,635.00","1,650.00","1,610.00","1,639.80","1,634.75","1,629.25","1,631.97","1,674.00",856.25,"1,165,402","1,901,904,425.40","51,509"
14-Jun-2023,EQ,"1,610.00","1,674.00","1,600.05","1,598.40","1,637.80","1,639.80","1,643.11","1,674.00",856.25,"4,588,929","7,540,100,529.65","153,302"
13-Jun-2023,EQ,"1,478.55","1,615.10","1,476.05","1,478.55","1,594.00","1,598.40","1,576.53","1,615.10",856.25,"4,728,989","7,455,383,403.00","149,661"
12-Jun-2023,EQ,"1,476.00","1,487.40","1,447.10","1,469.75","1,475.75","1,478.55","1,470.63","1,494.95",856.25,"643,162","945,855,167.95","36,122"
09-Jun-2023,EQ,"1,425.25","1,474.95","1,410.80","1,414.25","1,474.00","1,469.75","1,456.15","1,494.95",856.25,"1,464,086","2,131,926,388.80","63,130"
08-Jun-2023,EQ,"1,473.45","1,494.95","1,402.70","1,446.25","1,418.00","1,414.25","1,443.11","1,494.95",856.25,"2,801,595","4,042,997,504.20","78,240"
07-Jun-2023,EQ,"1,405.00","1,452.00","1,404.00","1,407.70","1,446.00","1,446.25","1,439.59","1,452.00",856.25,"1,101,503","1,585,717,724.00","48,950"
06-Jun-2023,EQ,"1,383.00","1,421.00","1,371.85","1,383.00","1,404.45","1,407.70","1,401.72","1,430.60",856.25,"680,260","953,534,183.75","30,732"
