Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,560.0,569.0,557.8,559.65,568.45,567.85,563.79,585.9,375.2,"6,986,621","3,938,956,595.10","117,244"
23-Jun-2023,EQ,570.0,571.15,557.7,569.35,560.45,559.65,561.07,585.9,375.2,"9,362,695","5,253,115,281.10","169,014"
22-Jun-2023,EQ,584.0,584.7,568.2,581.4,570.5,569.35,575.59,585.9,375.2,"11,229,179","6,463,430,994.05","163,564"
21-Jun-2023,EQ,584.95,585.9,574.5,583.25,581.4,581.4,580.49,585.9,375.2,"9,146,332","5,309,369,582.50","141,750"
20-Jun-2023,EQ,566.05,583.95,562.5,566.05,583.05,583.25,576.62,583.95,375.2,"18,074,902","10,422,284,289.60","237,264"
19-Jun-2023,EQ,570.65,573.2,564.2,569.8,566.4,566.05,568.5,576.55,375.2,"6,280,388","3,570,369,796.50","110,083"
16-Jun-2023,EQ,569.65,572.2,566.05,568.45,569.85,569.8,569.1,576.55,375.2,"8,736,313","4,971,828,846.75","124,969"
15-Jun-2023,EQ,571.8,575.0,567.75,570.3,568.5,568.45,570.84,576.55,375.2,"12,475,759","7,121,718,474.45","174,201"
14-Jun-2023,EQ,566.0,571.2,564.0,562.2,569.75,570.3,567.76,576.55,375.2,"12,713,256","7,218,066,743.45","150,717"
13-Jun-2023,EQ,567.7,571.05,560.75,564.15,562.45,562.2,564.83,576.55,375.2,"12,845,897","7,255,715,972.55","233,002"
12-Jun-2023,EQ,567.0,568.9,560.65,562.3,563.8,564.15,564.2,576.55,375.2,"7,599,572","4,287,693,145.50","133,928"
09-Jun-2023,EQ,564.4,566.45,559.3,559.7,562.15,562.3,562.97,576.55,375.2,"9,361,533","5,270,260,140.50","130,073"
08-Jun-2023,EQ,570.0,576.55,557.0,567.95,560.5,559.7,565.72,576.55,375.2,"21,527,339","12,178,437,334.20","255,530"
07-Jun-2023,EQ,558.8,575.0,552.15,555.75,567.1,567.95,565.55,575.0,375.2,"20,855,239","11,794,618,216.50","252,610"
06-Jun-2023,EQ,549.45,557.0,545.35,546.25,556.45,555.75,552.52,557.0,375.2,"15,395,092","8,506,165,599.65","201,706"
05-Jun-2023,EQ,539.0,548.8,537.9,535.9,545.5,546.25,544.66,548.8,375.2,"15,008,325","8,174,438,010.90","307,401"
02-Jun-2023,EQ,537.0,541.25,532.75,535.2,535.1,535.9,536.06,541.25,375.2,"12,294,728","6,590,730,363.10","158,429"
01-Jun-2023,EQ,527.5,536.25,522.85,526.3,534.4,535.2,530.62,537.15,375.2,"12,511,265","6,638,755,708.10","181,634"
31-May-2023,EQ,519.95,527.5,516.4,518.8,525.0,526.3,525.17,537.15,375.2,"12,327,284","6,473,876,480.20","127,058"
30-May-2023,EQ,521.45,523.5,518.0,521.45,519.15,518.8,520.08,537.15,375.2,"5,134,688","2,670,426,378.20","86,163"
29-May-2023,EQ,525.0,525.1,519.7,518.45,521.0,521.45,522.06,537.15,375.2,"6,596,504","3,443,791,163.95","89,053"
26-May-2023,EQ,514.9,519.75,512.2,514.85,517.8,518.45,516.76,537.15,375.2,"8,360,570","4,320,440,656.10","117,543"
25-May-2023,EQ,518.0,518.0,509.1,520.2,515.3,514.85,512.49,537.15,375.2,"11,543,712","5,916,052,457.85","171,115"
24-May-2023,EQ,527.15,529.65,519.15,528.5,520.6,520.2,523.7,537.15,375.2,"7,648,284","4,005,369,402.50","134,108"
23-May-2023,EQ,522.5,531.0,521.15,522.5,527.7,528.5,527.44,537.15,375.2,"12,256,902","6,464,833,065.30","193,749"
22-May-2023,EQ,524.95,527.0,519.35,524.95,522.1,522.5,522.43,537.15,375.2,"9,978,339","5,212,948,685.25","206,397"
19-May-2023,EQ,509.8,526.4,504.75,508.45,525.0,524.95,517.71,537.15,375.2,"19,343,560","10,014,433,487.15","237,137"
18-May-2023,EQ,518.8,520.9,507.1,515.5,508.95,508.45,512.17,537.15,375.2,"12,293,322","6,296,290,146.05","139,659"
17-May-2023,EQ,522.5,523.95,512.5,521.15,515.75,515.5,518.54,537.15,375.2,"13,684,847","7,096,176,117.35","202,405"
16-May-2023,EQ,533.95,535.95,518.85,530.85,522.2,521.15,529.8,537.15,375.2,"16,514,882","8,749,583,814.50","288,066"
