Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,218.3,219.35,216.3,218.3,218.35,218.6,218.2,251.15,182.35,"5,136,478","1,120,756,204.90","57,272"
23-Jun-2023,EQ,222.0,222.1,215.7,221.1,217.75,218.3,218.26,251.15,182.35,"10,890,426","2,376,916,037.45","83,670"
22-Jun-2023,EQ,224.85,225.15,220.5,224.3,221.15,221.1,222.56,251.15,182.35,"6,857,007","1,526,118,082.50","61,983"
21-Jun-2023,EQ,225.25,226.0,222.6,224.95,224.45,224.3,224.61,251.15,182.35,"6,987,933","1,569,571,682.15","61,599"
20-Jun-2023,EQ,223.1,226.35,222.6,223.15,224.8,224.95,225.03,251.15,182.35,"11,221,842","2,525,227,410.05","77,444"
19-Jun-2023,EQ,223.0,224.15,221.0,222.25,223.3,223.15,222.79,251.15,182.35,"7,473,608","1,665,042,676.85","62,592"
16-Jun-2023,EQ,221.9,223.7,220.9,220.6,222.2,222.25,222.58,251.15,182.35,"7,136,739","1,588,499,427.40","56,852"
15-Jun-2023,EQ,224.4,224.65,220.15,224.15,221.0,220.6,221.94,251.15,182.35,"7,665,159","1,701,189,777.10","67,861"
14-Jun-2023,EQ,222.5,225.25,221.55,221.8,223.8,224.15,224.01,251.15,182.35,"10,509,540","2,354,208,720.45","80,338"
13-Jun-2023,EQ,221.5,222.8,220.85,220.95,221.65,221.8,221.91,251.15,182.35,"6,249,947","1,386,926,165.30","49,998"
12-Jun-2023,EQ,221.95,223.55,220.35,221.2,221.0,220.95,221.88,251.15,182.35,"6,342,344","1,407,238,447.25","66,570"
09-Jun-2023,EQ,224.6,224.6,220.2,220.65,221.1,221.2,221.9,251.15,182.35,"11,045,069","2,450,940,679.65","81,074"
08-Jun-2023,EQ,218.95,226.2,218.45,218.45,221.15,220.65,222.98,251.15,182.35,"31,056,302","6,924,933,333.75","176,873"
07-Jun-2023,EQ,216.6,219.65,214.1,216.75,218.55,218.45,217.32,251.15,182.35,"11,387,499","2,474,714,310.80","75,347"
06-Jun-2023,EQ,219.8,219.8,215.55,219.05,217.0,216.75,216.88,251.15,182.35,"8,301,040","1,800,299,348.40","67,650"
05-Jun-2023,EQ,217.0,219.4,216.15,215.65,218.9,219.05,217.97,251.15,182.35,"8,688,870","1,893,897,218.60","73,881"
