Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"3,205.00","3,213.90","3,173.00","3,216.35","3,190.00","3,189.65","3,189.39","3,575.00","2,926.10","1,978,803","6,311,173,590.25","107,706"
23-Jun-2023,EQ,"3,237.30","3,249.40","3,209.15","3,238.50","3,213.90","3,216.35","3,221.22","3,575.00","2,926.10","1,119,505","3,606,176,034.70","67,908"
22-Jun-2023,EQ,"3,260.00","3,267.65","3,230.10","3,258.20","3,240.50","3,238.50","3,246.23","3,575.00","2,926.10","1,529,603","4,965,444,088.75","83,159"
21-Jun-2023,EQ,"3,250.00","3,261.40","3,223.95","3,227.70","3,257.00","3,258.20","3,247.51","3,575.00","2,926.10","1,645,987","5,345,359,097.25","91,009"
20-Jun-2023,EQ,"3,214.00","3,232.50","3,201.05","3,210.40","3,229.90","3,227.70","3,218.86","3,575.00","2,926.10","1,528,452","4,919,876,426.10","72,353"
19-Jun-2023,EQ,"3,190.00","3,214.90","3,175.00","3,174.90","3,207.10","3,210.40","3,194.51","3,575.00","2,926.10","1,468,186","4,690,130,908.90","88,271"
16-Jun-2023,EQ,"3,197.00","3,199.40","3,156.00","3,216.30","3,177.30","3,174.90","3,175.76","3,575.00","2,926.10","4,156,189","13,199,071,871.50","214,155"
15-Jun-2023,EQ,"3,245.30","3,247.45","3,210.00","3,251.05","3,215.30","3,216.30","3,225.77","3,575.00","2,926.10","2,273,810","7,334,785,641.40","104,925"
14-Jun-2023,EQ,"3,243.70","3,255.85","3,225.85","3,243.70","3,245.30","3,251.05","3,244.95","3,575.00","2,926.10","1,658,544","5,381,890,991.70","92,990"
13-Jun-2023,EQ,"3,260.00","3,265.00","3,239.00","3,246.90","3,244.90","3,243.70","3,249.64","3,575.00","2,926.10","1,371,928","4,458,273,417.90","90,189"
