Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,879.00","1,883.70","1,850.00","1,863.05","1,869.00","1,867.75","1,862.16","2,964.30","1,430.00","233,377","434,585,194.65","12,560"
23-Jun-2023,EQ,"1,854.85","1,870.00","1,795.00","1,862.65","1,863.60","1,863.05","1,854.42","2,964.30","1,430.00","135,365","251,022,933.10","7,863"
22-Jun-2023,EQ,"1,865.00","1,878.00","1,857.15","1,862.20","1,861.05","1,862.65","1,865.78","2,964.30","1,430.00","195,794","365,309,032.60","11,450"
21-Jun-2023,EQ,"1,865.90","1,871.90","1,856.50","1,860.05","1,862.95","1,862.20","1,862.67","2,964.30","1,430.00","143,078","266,506,613.40","9,394"
20-Jun-2023,EQ,"1,860.00","1,869.35","1,852.25","1,857.75","1,860.00","1,860.05","1,860.06","2,964.30","1,430.00","136,393","253,699,472.05","9,479"
19-Jun-2023,EQ,"1,859.95","1,870.00","1,852.00","1,858.20","1,855.05","1,857.75","1,859.11","2,964.30","1,430.00","164,761","306,309,186.20","12,673"
16-Jun-2023,EQ,"1,875.00","1,879.20","1,840.85","1,839.20","1,861.00","1,858.20","1,856.18","2,964.30","1,430.00","449,596","834,532,693.35","25,657"
15-Jun-2023,EQ,"1,839.45","1,857.60","1,832.25","1,831.50","1,838.00","1,839.20","1,841.48","2,964.30","1,430.00","388,250","714,955,726.05","22,048"
14-Jun-2023,EQ,"1,816.45","1,842.30","1,811.25","1,816.15","1,840.80","1,831.50","1,830.15","2,964.30","1,430.00","348,900","638,538,463.05","20,874"
13-Jun-2023,EQ,"1,815.95","1,820.00","1,806.85","1,806.35","1,816.00","1,816.15","1,812.84","2,964.30","1,430.00","662,502","1,201,013,354.90","28,444"
12-Jun-2023,EQ,"1,807.85","1,820.00","1,797.55","1,805.95","1,810.00","1,806.35","1,805.74","2,964.30","1,430.00","205,319","370,751,808.45","15,917"
09-Jun-2023,EQ,"1,808.50","1,822.00","1,795.60","1,797.80","1,810.00","1,805.95","1,811.48","2,964.30","1,430.00","264,778","479,639,670.65","13,651"
08-Jun-2023,EQ,"1,802.05","1,812.95","1,788.95","1,802.05","1,804.00","1,797.80","1,799.05","2,964.30","1,430.00","295,727","532,027,307.90","25,841"
07-Jun-2023,EQ,"1,800.95","1,814.90","1,790.05","1,788.10","1,808.00","1,802.05","1,801.33","2,964.30","1,430.00","249,842","450,048,207.00","14,481"
06-Jun-2023,EQ,"1,772.25","1,794.80","1,766.25","1,775.25","1,794.70","1,788.10","1,781.42","2,964.30","1,430.00","141,214","251,561,255.90","15,917"
05-Jun-2023,EQ,"1,778.00","1,793.40","1,770.10","1,777.45","1,771.00","1,775.25","1,778.16","2,964.30","1,430.00","208,268","370,334,431.75","13,647"
02-Jun-2023,EQ,"1,780.05","1,799.95","1,773.95","1,774.80","1,775.00","1,777.45","1,785.31","2,964.30","1,430.00","686,203","1,225,086,345.25","28,278"
01-Jun-2023,EQ,"1,835.90","1,843.85","1,763.90","1,835.80","1,772.05","1,774.80","1,795.60","2,964.30","1,430.00","1,113,670","1,999,703,019.50","79,836"
31-May-2023,EQ,"1,749.00","1,884.90","1,745.00","1,713.55","1,819.00","1,835.80","1,815.81","2,964.30","1,430.00","4,659,481","8,460,752,585.55","132,972"
