Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,726.85","1,761.80","1,711.25","1,724.95","1,753.00","1,753.65","1,737.82","1,761.80","1,030.00","445,964","775,003,908.70","25,963"
23-Jun-2023,EQ,"1,710.00","1,743.90","1,694.70","1,710.70","1,726.75","1,724.95","1,721.52","1,743.90","1,009.30","732,596","1,261,179,091.55","30,041"
22-Jun-2023,EQ,"1,700.00","1,719.50","1,696.25","1,700.80","1,714.15","1,710.70","1,708.09","1,730.00","1,009.30","213,389","364,487,381.90","13,765"
21-Jun-2023,EQ,"1,723.95","1,723.95","1,691.90","1,719.45","1,706.30","1,700.80","1,707.21","1,730.00","1,009.30","369,391","630,628,161.45","23,610"
20-Jun-2023,EQ,"1,710.00","1,725.00","1,695.10","1,708.45","1,719.40","1,719.45","1,713.56","1,730.00","1,009.30","273,300","468,315,429.40","16,042"
19-Jun-2023,EQ,"1,714.45","1,723.55","1,699.15","1,714.25","1,710.00","1,708.45","1,710.74","1,730.00","1,009.30","199,840","341,874,335.10","13,722"
16-Jun-2023,EQ,"1,685.85","1,719.50","1,680.00","1,685.05","1,716.00","1,714.25","1,709.73","1,730.00","1,009.30","484,881","829,013,876.10","26,507"
15-Jun-2023,EQ,"1,716.25","1,716.25","1,680.55","1,711.20","1,685.00","1,685.05","1,691.95","1,730.00","1,009.30","465,902","788,284,098.95","29,173"
14-Jun-2023,EQ,"1,695.50","1,730.00","1,681.00","1,685.65","1,706.55","1,711.20","1,705.63","1,730.00","1,009.30","1,207,550","2,059,628,834.10","61,879"
13-Jun-2023,EQ,"1,602.40","1,694.75","1,598.30","1,595.35","1,687.05","1,685.65","1,661.95","1,694.75","1,009.30","1,634,306","2,716,136,979.95","71,751"
12-Jun-2023,EQ,"1,598.40","1,609.00","1,584.55","1,598.40","1,609.00","1,595.35","1,592.24","1,620.10","1,009.30","223,661","356,121,744.45","23,735"
09-Jun-2023,EQ,"1,594.00","1,620.10","1,589.90","1,588.60","1,594.05","1,598.40","1,606.90","1,620.10","1,009.30","437,123","702,412,233.25","19,316"
08-Jun-2023,EQ,"1,609.00","1,616.70","1,583.35","1,602.85","1,592.00","1,588.60","1,599.91","1,616.70","1,009.30","286,923","459,051,821.10","17,470"
07-Jun-2023,EQ,"1,605.00","1,612.00","1,586.80","1,602.65","1,603.00","1,602.85","1,597.45","1,612.00","1,009.30","632,805","1,010,874,619.90","25,112"
06-Jun-2023,EQ,"1,604.95","1,607.50","1,584.00","1,599.05","1,603.55","1,602.65","1,595.38","1,610.00","1,009.30","208,474","332,594,382.10","15,681"
05-Jun-2023,EQ,"1,595.00","1,610.00","1,587.60","1,597.30","1,596.55","1,599.05","1,597.88","1,610.00","1,009.30","231,024","369,148,698.30","15,023"
02-Jun-2023,EQ,"1,566.55","1,603.20","1,559.95","1,562.40","1,602.75","1,597.30","1,584.39","1,603.20","1,009.30","514,635","815,384,802.35","24,200"
01-Jun-2023,EQ,"1,564.90","1,573.05","1,550.00","1,560.45","1,569.00","1,562.40","1,558.88","1,595.00","1,009.30","452,507","705,405,433.80","22,832"
31-May-2023,EQ,"1,561.40","1,595.00","1,550.00","1,558.35","1,553.85","1,560.45","1,567.76","1,595.00","1,009.30","1,279,601","2,006,108,542.00","46,531"
30-May-2023,EQ,"1,537.90","1,561.90","1,528.65","1,537.90","1,560.00","1,558.35","1,551.13","1,566.00","1,009.30","341,563","529,809,919.45","25,061"
29-May-2023,EQ,"1,531.40","1,544.50","1,523.10","1,530.20","1,540.00","1,537.90","1,533.40","1,566.00","1,009.30","347,260","532,488,835.70","21,442"
26-May-2023,EQ,"1,514.20","1,533.65","1,493.05","1,515.25","1,530.00","1,530.20","1,525.55","1,566.00","1,004.40","415,204","633,414,570.00","26,133"
25-May-2023,EQ,"1,500.30","1,519.90","1,493.65","1,498.50","1,514.20","1,515.25","1,510.82","1,566.00","1,004.40","475,551","718,470,455.20","15,074"
24-May-2023,EQ,"1,504.95","1,505.05","1,485.95","1,503.65","1,503.00","1,498.50","1,495.61","1,566.00","1,004.40","362,122","541,592,470.50","17,416"
23-May-2023,EQ,"1,499.90","1,511.95","1,493.15","1,496.25","1,503.00","1,503.65","1,502.60","1,566.00","1,004.40","368,971","554,415,869.75","20,192"
22-May-2023,EQ,"1,493.90","1,507.20","1,478.10","1,493.10","1,499.95","1,496.25","1,491.51","1,566.00","1,004.40","276,941","413,060,167.85","17,060"
19-May-2023,EQ,"1,490.65","1,498.60","1,471.55","1,490.70","1,492.00","1,493.10","1,487.73","1,566.00","1,004.40","468,553","697,080,079.65","24,420"
18-May-2023,EQ,"1,508.10","1,517.75","1,486.05","1,505.55","1,487.10","1,490.70","1,502.32","1,566.00","1,004.40","245,900","369,421,100.25","14,196"
17-May-2023,EQ,"1,502.95","1,513.15","1,486.00","1,500.20","1,510.00","1,505.55","1,498.18","1,566.00","1,004.40","469,701","703,695,962.05","27,637"
16-May-2023,EQ,"1,518.00","1,529.00","1,496.55","1,511.30","1,500.00","1,500.20","1,512.59","1,566.00","1,004.40","481,416","728,183,133.00","26,373"
15-May-2023,EQ,"1,486.00","1,518.35","1,473.00","1,486.15","1,512.00","1,511.30","1,507.00","1,566.00","1,004.40","496,686","748,506,572.55","31,721"
12-May-2023,EQ,"1,471.35","1,490.00","1,462.30","1,471.40","1,484.00","1,486.15","1,479.73","1,566.00",982.85,"326,598","483,276,438.20","23,127"
11-May-2023,EQ,"1,445.60","1,475.00","1,445.60","1,440.65","1,470.00","1,471.40","1,468.02","1,566.00",982.85,"456,556","670,234,962.65","28,804"
10-May-2023,EQ,"1,440.00","1,454.40","1,428.15","1,432.95","1,440.00","1,440.65","1,441.83","1,566.00",982.85,"469,015","676,240,109.05","24,983"
09-May-2023,EQ,"1,422.05","1,448.00","1,422.05","1,421.50","1,435.00","1,432.95","1,436.85","1,566.00",982.85,"824,650","1,184,899,861.40","26,737"
08-May-2023,EQ,"1,417.00","1,429.90","1,413.05","1,416.80","1,425.00","1,421.50","1,422.61","1,566.00",982.85,"319,478","454,491,639.00","16,823"
05-May-2023,EQ,"1,404.70","1,427.45","1,396.00","1,404.95","1,411.60","1,416.80","1,415.71","1,566.00",982.85,"317,728","449,809,464.25","16,595"
04-May-2023,EQ,"1,394.95","1,407.65","1,383.15","1,390.15","1,400.00","1,404.95","1,398.44","1,566.00",982.85,"244,571","342,018,265.15","16,344"
03-May-2023,EQ,"1,409.45","1,414.00","1,378.65","1,406.50","1,392.00","1,390.15","1,391.08","1,566.00",982.85,"515,474","717,063,250.85","27,766"
02-May-2023,EQ,"1,370.00","1,439.00","1,369.05","1,367.75","1,406.00","1,406.50","1,416.39","1,566.00",982.85,"1,312,984","1,859,703,331.40","54,372"
28-Apr-2023,EQ,"1,375.00","1,375.00","1,306.20","1,382.30","1,365.00","1,367.75","1,344.28","1,566.00",982.85,"1,816,275","2,441,582,341.35","74,727"
27-Apr-2023,EQ,"1,378.00","1,387.00","1,373.10","1,373.50","1,387.00","1,382.30","1,380.97","1,566.00",982.85,"422,730","583,778,159.65","19,330"
26-Apr-2023,EQ,"1,378.85","1,388.70","1,365.35","1,381.30","1,377.55","1,373.50","1,378.53","1,566.00",982.85,"509,852","702,843,950.00","25,969"
25-Apr-2023,EQ,"1,388.00","1,388.00","1,373.45","1,384.00","1,380.85","1,381.30","1,380.21","1,566.00",982.85,"153,489","211,846,760.05","15,562"
24-Apr-2023,EQ,"1,393.75","1,396.05","1,377.40","1,383.35","1,383.70","1,384.00","1,385.80","1,566.00",982.85,"327,783","454,242,165.05","20,481"
21-Apr-2023,EQ,"1,401.00","1,405.80","1,372.00","1,393.70","1,385.30","1,383.35","1,388.91","1,566.00",982.85,"600,063","833,430,942.85","34,382"
20-Apr-2023,EQ,"1,363.65","1,398.50","1,354.55","1,359.40","1,396.00","1,393.70","1,389.05","1,566.00",982.85,"611,747","849,744,597.60","34,534"
19-Apr-2023,EQ,"1,361.00","1,370.95","1,349.15","1,361.10","1,357.65","1,359.40","1,359.16","1,566.00",982.85,"212,326","288,585,671.10","14,228"
18-Apr-2023,EQ,"1,363.30","1,373.40","1,353.00","1,363.30","1,355.50","1,361.10","1,366.44","1,566.00",982.85,"502,824","687,076,521.00","16,340"
17-Apr-2023,EQ,"1,356.00","1,368.00","1,340.55","1,361.80","1,363.90","1,363.30","1,358.83","1,566.00",982.85,"375,958","510,862,434.60","23,588"
13-Apr-2023,EQ,"1,367.90","1,384.00","1,357.20","1,363.25","1,357.20","1,361.80","1,365.49","1,566.00",982.85,"378,453","516,772,731.25","25,127"
12-Apr-2023,EQ,"1,354.15","1,367.00","1,345.55","1,354.15","1,362.90","1,363.25","1,357.51","1,566.00",982.85,"177,221","240,578,823.55","20,212"
11-Apr-2023,EQ,"1,356.10","1,370.90","1,337.00","1,358.70","1,352.50","1,354.15","1,352.13","1,566.00",982.85,"235,880","318,940,165.25","20,527"
10-Apr-2023,EQ,"1,367.25","1,373.20","1,348.90","1,367.25","1,353.75","1,358.70","1,358.02","1,566.00",982.85,"357,266","485,175,287.70","22,070"
06-Apr-2023,EQ,"1,367.00","1,378.00","1,347.00","1,364.80","1,364.60","1,367.25","1,367.70","1,566.00",982.85,"343,855","470,289,298.40","19,177"
05-Apr-2023,EQ,"1,360.00","1,373.00","1,350.00","1,357.40","1,365.65","1,364.80","1,362.81","1,566.00",982.85,"212,990","290,265,466.10","19,398"
03-Apr-2023,EQ,"1,393.00","1,393.00","1,351.80","1,374.95","1,354.55","1,357.40","1,368.09","1,566.00",982.85,"401,477","549,254,954.50","29,931"
31-Mar-2023,EQ,"1,336.00","1,389.00","1,336.00","1,335.85","1,376.50","1,374.95","1,365.60","1,566.00",982.85,"675,734","922,782,627.50","36,699"
29-Mar-2023,EQ,"1,288.00","1,341.00","1,288.00","1,291.15","1,340.00","1,335.85","1,320.42","1,566.00",982.85,"508,829","671,867,691.85","37,193"
28-Mar-2023,EQ,"1,336.00","1,338.50","1,288.00","1,328.45","1,289.00","1,291.15","1,304.17","1,566.00",982.85,"474,383","618,678,376.40","25,028"
27-Mar-2023,EQ,"1,316.65","1,342.85","1,310.05","1,310.05","1,329.00","1,328.45","1,331.12","1,566.00",982.85,"456,288","607,372,382.90","30,715"
24-Mar-2023,EQ,"1,345.00","1,345.00","1,305.00","1,345.15","1,311.10","1,310.05","1,317.57","1,566.00",982.85,"316,370","416,840,973.00","23,179"
23-Mar-2023,EQ,"1,332.50","1,352.40","1,316.20","1,329.50","1,334.95","1,345.15","1,339.97","1,566.00",982.85,"388,796","520,974,916.45","20,183"
22-Mar-2023,EQ,"1,323.10","1,349.50","1,322.10","1,321.55","1,330.50","1,329.50","1,336.39","1,566.00",982.85,"344,287","460,101,791.55","20,577"
21-Mar-2023,EQ,"1,346.35","1,353.75","1,318.05","1,344.45","1,322.10","1,321.55","1,326.00","1,566.00",982.85,"318,911","422,877,370.90","26,203"
20-Mar-2023,EQ,"1,366.00","1,366.00","1,305.00","1,356.20","1,343.00","1,344.45","1,329.59","1,566.00",982.85,"605,595","805,191,659.95","39,954"
17-Mar-2023,EQ,"1,349.00","1,359.85","1,336.00","1,336.35","1,354.50","1,356.20","1,352.05","1,566.00",982.85,"440,067","594,994,137.70","25,462"
16-Mar-2023,EQ,"1,320.00","1,345.05","1,308.00","1,321.25","1,343.00","1,336.35","1,329.19","1,566.00",982.85,"475,242","631,685,321.25","27,608"
15-Mar-2023,EQ,"1,345.00","1,360.00","1,313.05","1,337.80","1,317.10","1,321.25","1,332.56","1,566.00",982.85,"343,676","457,968,876.15","18,359"
14-Mar-2023,EQ,"1,331.10","1,351.00","1,296.95","1,324.10","1,351.00","1,337.80","1,327.49","1,566.00",982.85,"626,503","831,676,426.65","27,226"
13-Mar-2023,EQ,"1,341.00","1,357.10","1,311.05","1,341.00","1,325.00","1,324.10","1,334.73","1,566.00",982.85,"698,497","932,303,822.25","34,733"
10-Mar-2023,EQ,"1,324.55","1,345.45","1,318.00","1,335.00","1,340.50","1,341.00","1,334.25","1,566.00",982.85,"391,986","523,008,906.25","30,255"
09-Mar-2023,EQ,"1,346.40","1,366.90","1,328.20","1,342.55","1,329.10","1,335.00","1,349.44","1,566.00",982.85,"625,276","843,770,703.45","28,119"
08-Mar-2023,EQ,"1,319.05","1,348.00","1,313.05","1,325.40","1,345.85","1,342.55","1,332.43","1,566.00",982.85,"521,534","694,906,064.50","24,888"
06-Mar-2023,EQ,"1,306.60","1,333.60","1,306.60","1,304.90","1,320.00","1,325.40","1,324.72","1,566.00",982.85,"566,960","751,061,415.45","25,914"
03-Mar-2023,EQ,"1,290.00","1,312.85","1,276.40","1,284.95","1,306.00","1,304.90","1,300.26","1,566.00",982.85,"568,928","739,755,295.00","24,041"
02-Mar-2023,EQ,"1,291.50","1,306.80","1,276.80","1,291.50","1,283.50","1,284.95","1,292.59","1,566.00",982.85,"299,267","386,830,023.30","20,725"
01-Mar-2023,EQ,"1,286.50","1,309.90","1,280.25","1,278.15","1,292.95","1,291.50","1,291.62","1,566.00",982.85,"467,538","603,880,118.10","33,875"
28-Feb-2023,EQ,"1,288.85","1,307.65","1,273.00","1,288.85","1,273.75","1,278.15","1,291.83","1,566.00",982.85,"907,835","1,172,765,803.20","25,105"
27-Feb-2023,EQ,"1,306.25","1,307.30","1,272.00","1,305.55","1,287.50","1,288.85","1,286.00","1,566.00",982.85,"419,611","539,619,412.20","19,113"
24-Feb-2023,EQ,"1,332.00","1,341.95","1,299.30","1,328.20","1,303.00","1,305.55","1,310.57","1,566.00",980.00,"409,365","536,500,909.85","23,048"
23-Feb-2023,EQ,"1,345.00","1,345.00","1,314.85","1,343.85","1,323.20","1,328.20","1,327.92","1,566.00",980.00,"347,591","461,571,958.40","24,115"
22-Feb-2023,EQ,"1,328.95","1,352.45","1,323.50","1,338.10","1,342.00","1,343.85","1,336.03","1,566.00",980.00,"556,036","742,882,824.00","36,513"
21-Feb-2023,EQ,"1,343.00","1,357.45","1,329.65","1,343.85","1,337.80","1,338.10","1,341.32","1,566.00",980.00,"575,418","771,817,457.70","32,410"
20-Feb-2023,EQ,"1,360.05","1,363.90","1,333.30","1,360.65","1,343.90","1,343.85","1,343.03","1,566.00",980.00,"390,430","524,359,925.10","20,421"
17-Feb-2023,EQ,"1,360.00","1,378.90","1,350.15","1,363.10","1,358.15","1,360.65","1,363.23","1,566.00",980.00,"535,675","730,250,592.40","33,676"
16-Feb-2023,EQ,"1,350.00","1,371.00","1,338.35","1,347.45","1,365.00","1,363.10","1,359.59","1,566.00",980.00,"584,385","794,526,493.35","38,466"
15-Feb-2023,EQ,"1,318.55","1,352.00","1,311.25","1,320.60","1,345.00","1,347.45","1,342.41","1,566.00",980.00,"821,781","1,103,169,279.50","38,749"
14-Feb-2023,EQ,"1,307.35","1,325.00","1,296.90","1,306.45","1,320.00","1,320.60","1,314.00","1,566.00",980.00,"316,603","416,016,466.95","23,179"
13-Feb-2023,EQ,"1,335.00","1,335.00","1,302.05","1,328.80","1,313.00","1,306.45","1,311.48","1,566.00",980.00,"338,292","443,664,276.40","24,472"
10-Feb-2023,EQ,"1,341.90","1,352.60","1,320.60","1,341.90","1,330.80","1,328.80","1,335.55","1,566.00",980.00,"820,161","1,095,369,920.80","43,923"
09-Feb-2023,EQ,"1,290.00","1,346.75","1,264.05","1,236.05","1,342.00","1,341.90","1,314.52","1,566.00",980.00,"4,103,779","5,394,506,206.25","139,695"
08-Feb-2023,EQ,"1,212.10","1,240.00","1,210.00","1,213.15","1,237.45","1,236.05","1,228.47","1,566.00",980.00,"336,510","413,393,849.00","29,745"
07-Feb-2023,EQ,"1,232.10","1,248.75","1,206.05","1,230.10","1,212.00","1,213.15","1,221.82","1,566.00",980.00,"499,648","610,478,342.35","32,094"
06-Feb-2023,EQ,"1,241.00","1,248.60","1,213.90","1,235.65","1,230.00","1,230.10","1,230.93","1,566.00",980.00,"365,009","449,299,549.35","27,452"
03-Feb-2023,EQ,"1,217.00","1,238.40","1,209.05","1,210.60","1,236.10","1,235.65","1,226.45","1,566.00",980.00,"304,320","373,233,303.15","20,744"
02-Feb-2023,EQ,"1,215.10","1,224.65","1,196.70","1,216.00","1,214.00","1,210.60","1,213.23","1,566.00",980.00,"590,000","715,804,475.20","31,705"
01-Feb-2023,EQ,"1,204.00","1,265.00","1,192.15","1,196.60","1,212.10","1,216.00","1,235.91","1,566.00",980.00,"1,724,393","2,131,195,259.05","52,609"
