Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,301.25","1,314.90","1,289.15","1,301.25","1,290.00","1,290.35","1,294.66","1,384.80",793.1,"607,694","786,760,050.25","27,357"
23-Jun-2023,EQ,"1,327.65","1,329.95","1,295.30","1,326.15","1,304.50","1,301.25","1,308.37","1,384.80",722.95,"705,445","922,982,621.90","30,742"
22-Jun-2023,EQ,"1,345.90","1,348.95","1,323.00","1,350.90","1,327.50","1,326.15","1,333.92","1,384.80",722.95,"558,699","745,261,541.65","17,476"
21-Jun-2023,EQ,"1,343.80","1,356.55","1,336.55","1,343.80","1,350.00","1,350.90","1,346.64","1,384.80",722.95,"846,723","1,140,228,586.85","27,504"
20-Jun-2023,EQ,"1,333.00","1,349.05","1,327.00","1,337.95","1,345.10","1,343.80","1,339.81","1,384.80",722.95,"1,139,873","1,527,210,261.40","26,233"
19-Jun-2023,EQ,"1,352.10","1,360.80","1,336.00","1,352.85","1,340.50","1,337.95","1,348.25","1,384.80",722.95,"445,580","600,753,202.40","23,268"
16-Jun-2023,EQ,"1,339.00","1,356.80","1,322.95","1,332.85","1,352.00","1,352.85","1,341.30","1,384.80",722.95,"1,182,213","1,585,696,907.25","30,284"
15-Jun-2023,EQ,"1,348.65","1,357.00","1,330.00","1,345.85","1,338.50","1,332.85","1,342.94","1,384.80",722.95,"808,772","1,086,130,789.80","35,039"
14-Jun-2023,EQ,"1,346.95","1,350.00","1,333.00","1,346.10","1,348.00","1,345.85","1,342.96","1,384.80",722.95,"663,045","890,443,526.60","29,114"
13-Jun-2023,EQ,"1,345.60","1,353.00","1,340.35","1,339.60","1,343.00","1,346.10","1,347.68","1,384.80",722.95,"651,920","878,576,938.40","22,354"
12-Jun-2023,EQ,"1,368.00","1,384.80","1,335.15","1,336.00","1,339.95","1,339.60","1,352.92","1,384.80",722.95,"2,237,766","3,027,510,674.10","86,929"
09-Jun-2023,EQ,"1,332.00","1,351.10","1,331.00","1,326.10","1,334.90","1,336.00","1,342.30","1,354.50",716.05,"805,323","1,080,988,586.70","29,277"
08-Jun-2023,EQ,"1,349.95","1,351.40","1,317.90","1,347.50","1,329.00","1,326.10","1,332.16","1,354.50",716.05,"511,069","680,827,134.65","30,780"
07-Jun-2023,EQ,"1,342.95","1,354.50","1,327.95","1,332.00","1,349.00","1,347.50","1,341.40","1,354.50",716.05,"1,067,501","1,431,950,658.10","47,901"
06-Jun-2023,EQ,"1,296.00","1,339.00","1,286.00","1,294.70","1,336.55","1,332.00","1,320.19","1,339.00",716.05,"1,703,583","2,249,052,739.90","80,829"
05-Jun-2023,EQ,"1,309.95","1,312.95","1,287.15","1,305.55","1,296.00","1,294.70","1,296.09","1,317.00",716.05,"551,021","714,175,266.30","32,313"
02-Jun-2023,EQ,"1,286.90","1,310.00","1,281.60","1,272.10","1,300.00","1,305.55","1,299.89","1,317.00",716.05,"1,923,687","2,500,585,011.50","71,020"
01-Jun-2023,EQ,"1,286.05","1,290.50","1,270.00","1,302.80","1,272.00","1,272.10","1,281.08","1,317.00",716.05,"727,641","932,163,977.00","36,180"
31-May-2023,EQ,"1,280.00","1,317.00","1,278.05","1,282.70","1,285.95","1,302.80","1,301.02","1,317.00",716.05,"3,346,979","4,354,484,315.60","45,066"
30-May-2023,EQ,"1,299.05","1,306.95","1,280.05","1,299.80","1,283.50","1,282.70","1,292.73","1,306.95",716.05,"531,133","686,613,097.15","25,340"
29-May-2023,EQ,"1,296.35","1,304.85","1,278.55","1,293.20","1,302.95","1,299.80","1,296.78","1,304.85",716.05,"875,198","1,134,939,603.30","65,514"
26-May-2023,EQ,"1,278.05","1,301.00","1,270.35","1,283.10","1,290.00","1,293.20","1,292.63","1,301.00",685.35,"1,409,077","1,821,419,315.65","67,300"
25-May-2023,EQ,"1,265.00","1,287.50","1,262.35","1,272.90","1,281.00","1,283.10","1,277.02","1,287.50",685.35,"1,004,944","1,283,336,529.35","39,868"
