Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"1,490.00","1,501.95","1,480.50","1,490.15","1,499.45","1,496.25","1,493.84","1,806.45","1,353.50","306,059","457,203,373.25","6,770"
23-Jun-2023,EQ,"1,515.00","1,515.00","1,482.00","1,508.10","1,490.05","1,490.15","1,491.30","1,806.45","1,353.50","188,147","280,583,669.65","11,101"
22-Jun-2023,EQ,"1,488.50","1,513.55","1,473.60","1,487.15","1,504.75","1,508.10","1,496.52","1,806.45","1,353.50","644,709","964,819,332.35","19,987"
21-Jun-2023,EQ,"1,496.05","1,504.90","1,478.60","1,495.20","1,485.00","1,487.15","1,485.86","1,806.45","1,353.50","242,444","360,236,834.35","8,271"
20-Jun-2023,EQ,"1,494.00","1,506.40","1,480.00","1,490.35","1,497.00","1,495.20","1,492.21","1,806.45","1,353.50","392,744","586,056,434.40","11,424"
19-Jun-2023,EQ,"1,522.00","1,525.95","1,483.05","1,512.20","1,489.85","1,490.35","1,503.11","1,806.45","1,353.50","368,572","554,003,916.75","17,451"
16-Jun-2023,EQ,"1,492.00","1,524.80","1,482.95","1,489.25","1,511.00","1,512.20","1,510.54","1,806.45","1,353.50","876,318","1,323,715,505.95","33,827"
15-Jun-2023,EQ,"1,489.30","1,496.00","1,480.05","1,483.90","1,490.30","1,489.25","1,490.07","1,806.45","1,353.50","203,287","302,911,453.55","12,866"
14-Jun-2023,EQ,"1,468.00","1,495.00","1,467.00","1,465.85","1,484.50","1,483.90","1,487.53","1,806.45","1,353.50","306,469","455,882,101.75","20,718"
13-Jun-2023,EQ,"1,490.00","1,495.00","1,463.55","1,482.40","1,468.00","1,465.85","1,474.78","1,806.45","1,353.50","226,190","333,579,446.90","14,934"
12-Jun-2023,EQ,"1,480.00","1,488.50","1,460.05","1,477.30","1,483.15","1,482.40","1,476.34","1,806.45","1,353.50","167,651","247,510,629.30","16,040"
09-Jun-2023,EQ,"1,494.15","1,494.15","1,471.90","1,480.60","1,479.00","1,477.30","1,480.48","1,806.45","1,353.50","206,743","306,078,510.50","21,417"
08-Jun-2023,EQ,"1,511.85","1,512.00","1,475.90","1,501.60","1,480.30","1,480.60","1,493.26","1,806.45","1,353.50","244,663","365,345,620.85","13,860"
07-Jun-2023,EQ,"1,444.95","1,509.00","1,444.95","1,441.40","1,502.40","1,501.60","1,495.34","1,806.45","1,353.50","1,200,650","1,795,385,244.45","45,849"
06-Jun-2023,EQ,"1,452.00","1,454.00","1,432.55","1,448.70","1,446.00","1,441.40","1,440.06","1,806.45","1,353.50","211,169","304,095,808.30","8,083"
05-Jun-2023,EQ,"1,448.95","1,454.95","1,445.00","1,448.80","1,448.00","1,448.70","1,449.10","1,806.45","1,353.50","172,989","250,677,669.50","9,172"
02-Jun-2023,EQ,"1,469.30","1,472.10","1,445.05","1,463.10","1,450.00","1,448.80","1,450.79","1,806.45","1,353.50","195,312","283,357,219.30","12,036"
01-Jun-2023,EQ,"1,460.00","1,474.50","1,455.80","1,454.70","1,461.00","1,463.10","1,466.51","1,806.45","1,353.50","245,109","359,455,493.25","18,349"
31-May-2023,EQ,"1,448.00","1,461.00","1,444.85","1,450.05","1,450.00","1,454.70","1,454.29","1,806.45","1,353.50","110,787","161,116,420.80","10,500"
30-May-2023,EQ,"1,460.05","1,465.00","1,448.15","1,457.85","1,449.70","1,450.05","1,453.97","1,806.45","1,353.50","68,948","100,248,543.40","6,538"
29-May-2023,EQ,"1,460.00","1,467.75","1,451.85","1,459.80","1,455.00","1,457.85","1,459.55","1,806.45","1,353.50","253,187","369,538,089.85","8,148"
26-May-2023,EQ,"1,448.90","1,465.75","1,443.55","1,442.05","1,456.60","1,459.80","1,452.62","1,806.45","1,353.50","373,576","542,662,542.85","15,649"
25-May-2023,EQ,"1,426.90","1,444.10","1,420.00","1,422.15","1,443.00","1,442.05","1,436.86","1,806.45","1,353.50","148,425","213,265,738.15","9,026"
24-May-2023,EQ,"1,414.75","1,426.45","1,406.75","1,410.65","1,425.00","1,422.15","1,416.99","1,806.45","1,353.50","431,508","611,441,798.15","23,940"
23-May-2023,EQ,"1,405.00","1,422.00","1,395.20","1,400.75","1,415.00","1,410.65","1,409.81","1,806.45","1,353.50","270,817","381,800,522.60","21,912"
22-May-2023,EQ,"1,422.60","1,422.60","1,393.60","1,415.15","1,400.00","1,400.75","1,402.14","1,806.45","1,353.50","409,141","573,673,012.00","16,579"
19-May-2023,EQ,"1,434.00","1,434.00","1,401.95","1,424.45","1,417.00","1,415.15","1,410.43","1,806.45","1,353.50","219,506","309,598,768.90","13,574"
18-May-2023,EQ,"1,435.00","1,445.00","1,420.10","1,430.00","1,425.00","1,424.45","1,426.19","1,806.45","1,353.50","98,647","140,689,549.65","7,263"
17-May-2023,EQ,"1,459.85","1,462.00","1,425.00","1,448.95","1,426.00","1,430.00","1,437.23","1,806.45","1,353.50","203,989","293,178,109.90","12,678"
16-May-2023,EQ,"1,426.00","1,453.10","1,421.30","1,422.60","1,450.00","1,448.95","1,441.78","1,806.45","1,353.50","188,343","271,550,053.20","11,260"
