Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,"8,060.00","8,270.00","8,060.00","8,080.20","8,154.00","8,167.10","8,138.99","8,432.15","5,480.00","241,856","1,968,463,825.60","24,990"
23-Jun-2023,EQ,"8,163.20","8,165.05","8,060.00","8,162.75","8,068.60","8,080.20","8,103.07","8,432.15","5,161.80","198,255","1,606,475,108.65","25,289"
22-Jun-2023,EQ,"8,277.00","8,279.00","8,145.70","8,241.55","8,148.30","8,162.75","8,197.70","8,432.15","5,161.80","226,654","1,858,042,016.95","28,496"
21-Jun-2023,EQ,"8,252.40","8,352.65","8,227.00","8,243.45","8,243.05","8,241.55","8,268.98","8,432.15","5,161.80","373,929","3,092,011,467.80","49,739"
20-Jun-2023,EQ,"8,268.00","8,291.40","8,171.30","8,268.60","8,230.60","8,243.45","8,207.94","8,432.15","5,161.80","343,189","2,816,875,135.80","31,484"
19-Jun-2023,EQ,"8,358.00","8,415.60","8,252.90","8,333.25","8,260.00","8,268.60","8,315.28","8,432.15","5,161.80","187,488","1,559,014,959.90","23,541"
16-Jun-2023,EQ,"8,364.95","8,432.15","8,305.85","8,333.20","8,328.00","8,333.25","8,347.22","8,432.15","5,157.05","356,982","2,979,808,738.55","45,896"
15-Jun-2023,EQ,"8,380.00","8,428.00","8,309.00","8,358.30","8,331.10","8,333.20","8,370.41","8,428.00","5,157.05","406,197","3,400,034,548.40","46,924"
14-Jun-2023,EQ,"8,308.95","8,366.95","8,276.75","8,276.30","8,362.35","8,358.30","8,324.33","8,366.95","5,157.05","289,643","2,411,083,670.70","46,957"
13-Jun-2023,EQ,"8,212.50","8,318.30","8,211.75","8,198.60","8,280.00","8,276.30","8,271.02","8,318.30","5,157.05","249,199","2,061,129,674.40","33,629"
12-Jun-2023,EQ,"8,160.50","8,205.00","8,102.35","8,153.25","8,185.20","8,198.60","8,173.58","8,217.70","5,157.05","195,134","1,594,943,003.30","39,762"
09-Jun-2023,EQ,"8,158.00","8,217.70","8,108.20","8,100.15","8,170.00","8,153.25","8,159.11","8,217.70","5,157.05","325,814","2,658,351,125.55","38,780"
08-Jun-2023,EQ,"8,170.00","8,213.95","8,086.00","8,157.60","8,104.00","8,100.15","8,143.47","8,213.95","5,157.05","349,085","2,842,763,054.55","40,115"
07-Jun-2023,EQ,"8,135.10","8,171.90","8,082.55","8,109.55","8,152.40","8,157.60","8,131.37","8,171.90","5,157.05","298,650","2,428,434,239.30","36,848"
06-Jun-2023,EQ,"7,888.00","8,120.00","7,888.00","7,882.00","8,115.00","8,109.55","8,047.21","8,120.00","5,157.05","635,244","5,111,938,769.15","73,615"
05-Jun-2023,EQ,"7,897.00","7,925.00","7,865.00","7,850.65","7,865.50","7,882.00","7,889.65","7,970.00","5,157.05","186,015","1,467,593,338.35","24,602"
02-Jun-2023,EQ,"7,861.00","7,947.45","7,826.45","7,842.80","7,841.00","7,850.65","7,882.71","7,970.00","5,157.05","248,325","1,957,475,195.90","24,294"
01-Jun-2023,EQ,"7,871.00","7,898.80","7,809.80","7,870.05","7,840.00","7,842.80","7,857.59","7,970.00","5,157.05","184,642","1,450,841,751.65","29,538"
31-May-2023,EQ,"7,895.00","7,927.45","7,779.85","7,901.95","7,822.00","7,870.05","7,864.59","7,970.00","5,157.05","1,137,662","8,947,244,264.85","56,111"
30-May-2023,EQ,"7,865.00","7,970.00","7,840.60","7,840.55","7,895.00","7,901.95","7,922.88","7,970.00","5,157.05","414,785","3,286,290,934.45","43,969"
29-May-2023,EQ,"7,750.00","7,857.70","7,735.00","7,721.85","7,849.00","7,840.55","7,815.02","7,920.00","5,157.05","210,769","1,647,163,414.35","27,040"
26-May-2023,EQ,"7,670.00","7,750.00","7,633.90","7,621.75","7,717.00","7,721.85","7,712.28","7,920.00","5,157.05","252,078","1,944,096,652.65","35,669"
25-May-2023,EQ,"7,644.30","7,668.10","7,594.30","7,653.80","7,627.70","7,621.75","7,621.66","7,920.00","5,157.05","257,361","1,961,517,562.40","27,490"
24-May-2023,EQ,"7,650.00","7,683.95","7,590.05","7,654.25","7,650.00","7,653.80","7,654.24","7,920.00","5,157.05","160,565","1,229,002,972.65","30,738"
23-May-2023,EQ,"7,675.00","7,752.40","7,625.30","7,715.65","7,648.00","7,654.25","7,689.89","7,920.00","5,157.05","149,291","1,148,031,407.60","23,767"
