Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,672.65,680.85,667.5,666.85,679.0,679.2,677.77,807.0,621.95,"2,550,546","1,728,689,541.15","60,423"
23-Jun-2023,EQ,674.75,675.75,665.5,674.4,667.0,666.85,668.47,807.0,607.5,"1,884,124","1,259,479,620.20","48,312"
22-Jun-2023,EQ,686.1,686.1,671.05,686.1,674.75,674.4,677.96,807.0,607.5,"2,165,875","1,468,379,156.25","55,923"
21-Jun-2023,EQ,683.5,687.0,682.05,683.45,687.0,686.1,685.36,807.0,607.5,"1,194,618","818,741,086.75","28,754"
20-Jun-2023,EQ,685.0,685.1,678.7,685.6,685.0,683.45,681.64,807.0,607.5,"1,537,058","1,047,723,249.85","40,704"
19-Jun-2023,EQ,694.95,696.0,681.5,690.85,685.65,685.6,685.52,807.0,607.5,"1,510,117","1,035,210,108.25","38,501"
16-Jun-2023,EQ,681.3,695.8,681.1,680.8,692.0,690.85,691.03,807.0,607.5,"3,397,721","2,347,919,793.30","48,749"
15-Jun-2023,EQ,682.75,688.0,676.65,682.75,680.3,680.8,680.75,807.0,607.5,"1,890,165","1,286,731,359.90","44,817"
14-Jun-2023,EQ,682.0,689.45,678.65,682.25,682.95,682.75,683.19,807.0,607.5,"4,009,140","2,739,015,463.90","60,273"
13-Jun-2023,EQ,676.1,684.0,676.1,678.95,683.0,682.25,681.52,807.0,607.5,"2,175,343","1,482,540,074.40","39,504"
12-Jun-2023,EQ,680.25,682.55,674.2,680.25,679.8,678.95,678.8,807.0,607.5,"2,017,017","1,369,151,642.40","51,513"
09-Jun-2023,EQ,692.0,692.4,677.8,690.05,679.0,680.25,685.94,807.0,607.5,"1,411,515","968,219,830.65","47,369"
08-Jun-2023,EQ,695.0,698.9,689.05,693.95,690.2,690.05,693.38,807.0,607.5,"1,312,986","910,394,847.55","26,462"
07-Jun-2023,EQ,697.0,697.75,692.8,694.0,695.0,693.95,695.05,807.0,607.5,"1,147,072","797,266,715.80","27,779"
06-Jun-2023,EQ,691.0,696.95,690.4,690.0,694.05,694.0,694.24,807.0,607.5,"1,618,425","1,123,576,688.00","42,329"
05-Jun-2023,EQ,689.0,691.5,684.65,683.35,690.0,690.0,688.67,807.0,607.5,"1,227,013","845,007,504.30","23,808"
02-Jun-2023,EQ,679.0,684.5,678.9,677.95,683.8,683.35,682.38,807.0,607.5,"1,168,519","797,379,188.85","30,594"
01-Jun-2023,EQ,685.0,685.1,676.5,685.1,678.4,677.95,679.19,807.0,607.5,"2,470,088","1,677,652,206.25","52,454"
31-May-2023,EQ,684.25,691.05,682.0,689.05,683.0,685.1,686.15,807.0,607.5,"3,370,272","2,312,526,330.35","45,835"
30-May-2023,EQ,691.0,694.0,684.1,690.0,689.0,689.05,687.9,807.0,607.5,"900,153","619,218,013.60","26,814"
29-May-2023,EQ,690.0,691.5,686.25,688.1,690.1,690.0,689.56,807.0,607.5,"1,116,759","770,069,506.70","25,355"
26-May-2023,EQ,676.0,688.95,676.0,675.8,687.2,688.1,684.43,815.35,607.5,"2,131,442","1,458,820,674.50","48,716"
25-May-2023,EQ,682.5,685.45,674.15,682.25,676.45,675.8,677.6,815.35,607.5,"2,210,598","1,497,892,217.40","34,438"
24-May-2023,EQ,680.65,684.8,674.0,680.65,682.3,682.25,681.72,815.35,607.5,"1,920,527","1,309,265,468.45","29,981"
23-May-2023,EQ,670.45,681.75,670.45,670.4,680.7,680.65,678.03,815.35,607.5,"2,087,867","1,415,628,048.00","36,177"
22-May-2023,EQ,668.0,672.05,661.95,668.0,671.2,670.4,666.27,815.35,607.5,"2,116,815","1,410,371,700.85","36,171"
19-May-2023,EQ,674.0,676.0,657.05,673.35,667.9,668.0,664.76,828.0,607.5,"4,632,213","3,079,330,555.15","88,570"
