Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,276.2,280.65,274.3,276.2,279.5,279.8,278.36,340.75,206.0,"4,184,383","1,164,765,418.20","43,917"
23-Jun-2023,EQ,280.85,280.85,275.9,280.65,276.15,276.2,277.42,340.75,206.0,"5,178,936","1,436,751,261.15","73,844"
22-Jun-2023,EQ,282.0,282.85,279.0,281.25,281.0,280.65,281.19,340.75,206.0,"3,205,576","901,372,499.55","42,235"
21-Jun-2023,EQ,282.65,283.15,280.3,282.65,281.45,281.25,281.61,340.75,206.0,"3,186,136","897,259,040.20","48,696"
20-Jun-2023,EQ,279.0,284.35,279.0,280.55,282.7,282.65,282.3,340.75,206.0,"5,600,444","1,581,028,551.00","46,581"
19-Jun-2023,EQ,281.9,281.9,279.65,280.05,280.75,280.55,280.76,340.75,206.0,"3,070,098","861,975,316.40","39,284"
16-Jun-2023,EQ,282.2,282.85,279.1,281.3,280.0,280.05,281.01,340.75,206.0,"4,363,955","1,226,317,039.50","44,607"
15-Jun-2023,EQ,281.9,282.8,280.6,281.0,281.4,281.3,281.71,340.75,206.0,"3,650,454","1,028,374,806.90","47,323"
14-Jun-2023,EQ,279.1,283.0,279.0,278.0,281.3,281.0,281.43,340.75,206.0,"8,520,513","2,397,910,179.20","70,087"
13-Jun-2023,EQ,279.3,279.3,277.15,277.85,278.1,278.0,277.85,340.75,206.0,"4,423,326","1,229,018,372.80","51,931"
12-Jun-2023,EQ,278.8,279.5,276.7,276.75,278.0,277.85,278.19,340.75,206.0,"3,615,243","1,005,717,464.40","47,503"
09-Jun-2023,EQ,278.9,278.9,276.1,277.55,276.8,276.75,277.12,340.75,206.0,"3,951,837","1,095,142,372.25","45,725"
08-Jun-2023,EQ,279.85,280.75,277.1,278.45,277.65,277.55,278.95,340.75,206.0,"5,236,354","1,460,702,466.60","56,848"
07-Jun-2023,EQ,277.95,278.9,276.7,277.4,278.7,278.45,277.71,340.75,206.0,"4,434,944","1,231,623,396.85","51,182"
06-Jun-2023,EQ,279.0,279.8,277.05,278.3,277.15,277.4,277.89,340.75,206.0,"3,892,263","1,081,616,719.50","50,925"
05-Jun-2023,EQ,280.05,280.05,276.3,280.1,278.3,278.3,278.06,340.75,206.0,"6,297,485","1,751,069,352.50","73,299"
02-Jun-2023,EQ,279.65,281.25,278.65,278.1,279.65,280.1,280.16,340.75,206.0,"4,851,414","1,359,150,633.25","51,610"
01-Jun-2023,EQ,278.0,280.5,277.6,278.3,278.15,278.1,278.83,340.75,206.0,"5,137,986","1,432,645,127.75","63,806"
31-May-2023,EQ,280.0,283.25,277.8,285.6,278.3,278.3,279.36,340.75,206.0,"13,042,404","3,643,478,541.40","130,558"
30-May-2023,EQ,283.2,288.45,283.0,300.35,286.2,285.6,285.63,340.75,206.0,"14,960,466","4,273,124,110.75","128,870"
29-May-2023,EQ,299.9,300.95,297.2,297.65,300.55,300.35,299.69,340.75,206.0,"13,277,968","3,979,292,811.00","90,379"
26-May-2023,EQ,298.0,298.2,295.5,295.8,297.95,297.65,297.0,340.75,206.0,"14,274,998","4,239,641,112.05","95,035"
25-May-2023,EQ,291.45,296.5,290.65,291.35,296.25,295.8,293.45,340.75,206.0,"13,711,792","4,023,756,299.30","89,750"
24-May-2023,EQ,290.0,292.95,284.6,288.35,291.6,291.35,290.35,340.75,206.0,"12,159,427","3,530,538,266.40","87,375"
23-May-2023,EQ,293.0,293.0,288.0,287.5,288.6,288.35,289.9,340.75,206.0,"19,814,977","5,744,299,025.55","144,822"
22-May-2023,EQ,284.0,287.85,282.5,281.95,287.5,287.5,285.29,340.75,206.0,"8,718,882","2,487,402,731.45","76,203"
