Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,753.15,759.00,747.60,750.50,758.50,757.65,755.22,"1,064.95",737.2,"1,236,917","934,139,929.25","35,353"
23-Jun-2023,EQ,768.20,777.50,748.50,782.10,749.50,750.50,755.80,"1,064.95",737.2,"4,692,817","3,546,837,810.05","109,661"
22-Jun-2023,EQ,786.00,789.00,778.55,786.90,781.95,782.10,781.72,"1,064.95",737.2,"1,942,087","1,518,166,028.25","36,866"
21-Jun-2023,EQ,790.30,794.00,783.00,789.25,786.50,786.90,788.97,"1,064.95",737.2,"1,583,443","1,249,282,730.10","22,242"
20-Jun-2023,EQ,790.00,794.80,786.05,790.15,789.40,789.25,789.60,"1,064.95",737.2,"772,917","610,294,136.95","23,217"
19-Jun-2023,EQ,798.00,799.70,785.55,796.20,789.80,790.15,790.44,"1,064.95",737.2,"1,144,336","904,532,707.40","30,231"
16-Jun-2023,EQ,802.00,803.70,794.30,800.90,796.50,796.20,798.22,"1,064.95",737.2,"1,078,391","860,790,782.45","25,439"
15-Jun-2023,EQ,815.95,818.20,798.00,815.25,798.30,800.90,806.07,"1,064.95",737.2,"1,006,762","811,518,763.35","26,365"
14-Jun-2023,EQ,808.00,827.00,801.00,806.40,814.55,815.25,817.09,"1,064.95",737.2,"2,311,363","1,888,584,873.05","51,841"
13-Jun-2023,EQ,790.70,808.00,790.00,790.65,805.35,806.40,802.49,"1,064.95",737.2,"1,116,993","896,380,610.80","25,218"
12-Jun-2023,EQ,780.05,795.70,774.20,777.95,791.65,790.65,787.29,"1,064.95",737.2,"1,935,001","1,523,398,070.80","39,874"
09-Jun-2023,EQ,804.20,805.40,777.00,804.95,778.25,777.95,788.96,"1,064.95",737.2,"2,202,969","1,738,064,756.80","62,307"
08-Jun-2023,EQ,811.00,811.00,801.55,806.10,807.05,804.95,805.48,"1,064.95",737.2,"958,527","772,071,902.90","17,698"
07-Jun-2023,EQ,809.00,809.00,801.15,803.30,807.40,806.10,805.28,"1,064.95",737.2,"520,388","419,057,647.65","15,714"
06-Jun-2023,EQ,824.00,825.00,791.40,823.25,802.90,803.30,803.25,"1,064.95",737.2,"1,881,812","1,511,568,475.10","56,237"
05-Jun-2023,EQ,822.00,826.40,821.05,818.90,823.65,823.25,823.90,"1,064.95",737.2,"356,474","293,698,686.80","9,530"
02-Jun-2023,EQ,830.00,830.80,817.05,825.40,820.00,818.90,822.27,"1,064.95",737.2,"713,546","586,727,825.80","19,666"
01-Jun-2023,EQ,820.05,831.95,819.05,821.35,826.80,825.40,826.24,"1,064.95",737.2,"804,182","664,450,960.25","20,463"
31-May-2023,EQ,819.15,826.80,817.00,821.85,821.90,821.35,821.44,"1,064.95",737.2,"805,009","661,266,831.05","22,165"
30-May-2023,EQ,826.00,831.00,819.05,825.75,823.00,821.85,823.83,"1,064.95",737.2,"610,358","502,828,729.10","19,166"
29-May-2023,EQ,818.00,827.50,815.00,814.55,826.00,825.75,823.16,"1,064.95",737.2,"982,588","808,823,286.65","24,242"
26-May-2023,EQ,815.05,817.95,809.20,812.25,815.00,814.55,813.73,"1,064.95",737.2,"446,811","363,585,578.90","13,722"
25-May-2023,EQ,804.00,814.00,801.50,803.45,812.90,812.25,810.82,"1,064.95",737.2,"745,354","604,348,531.60","20,038"
24-May-2023,EQ,805.80,808.95,799.50,805.80,804.00,803.45,804.32,"1,064.95",737.2,"1,950,756","1,569,026,934.45","36,773"
23-May-2023,EQ,809.70,813.00,804.00,809.70,806.00,805.80,808.11,"1,064.95",737.2,"401,163","324,182,139.40","14,625"
22-May-2023,EQ,797.00,811.95,790.50,797.25,809.60,809.70,807.06,"1,064.95",737.2,"950,899","767,434,219.50","23,181"
19-May-2023,EQ,800.95,801.00,785.85,797.55,798.00,797.25,794.77,"1,064.95",737.2,"864,639","687,192,817.50","45,747"
18-May-2023,EQ,805.00,809.05,796.05,803.00,798.00,797.55,802.47,"1,064.95",737.2,"354,925","284,817,478.05","12,458"
17-May-2023,EQ,807.00,808.10,795.00,804.55,803.70,803.00,800.41,"1,064.95",737.2,"763,149","610,835,221.75","22,624"
16-May-2023,EQ,812.00,816.00,803.05,810.35,805.00,804.55,810.31,"1,064.95",737.2,"511,123","414,167,860.95","17,556"
