Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,176.75,180.15,174.6,176.65,177.4,177.85,177.49,287.0,170.1,"9,626,417","1,708,631,170.85","52,780"
23-Jun-2023,EQ,180.8,180.9,175.8,179.45,176.45,176.65,177.43,287.0,170.1,"8,603,527","1,526,565,710.20","54,003"
22-Jun-2023,EQ,184.9,185.75,178.8,180.3,179.6,179.45,182.0,287.0,170.1,"18,643,830","3,393,201,824.75","85,271"
21-Jun-2023,EQ,176.25,188.4,176.25,173.3,180.0,180.3,183.54,287.0,170.1,"54,185,787","9,945,062,981.85","226,777"
20-Jun-2023,EQ,185.5,185.8,170.1,185.25,173.9,173.3,176.69,287.0,170.1,"34,115,277","6,027,683,982.40","256,568"
19-Jun-2023,EQ,186.0,188.75,184.45,187.15,184.85,185.25,185.98,287.0,175.55,"6,624,041","1,231,966,105.15","49,318"
16-Jun-2023,EQ,188.1,190.5,186.05,186.6,186.85,187.15,188.22,287.0,175.55,"7,779,992","1,464,380,489.80","41,755"
15-Jun-2023,EQ,195.4,195.9,184.5,194.85,186.3,186.6,189.75,287.0,175.55,"13,503,602","2,562,347,322.80","84,145"
14-Jun-2023,EQ,196.6,199.25,194.4,193.95,195.0,194.85,195.9,287.0,175.55,"9,931,784","1,945,647,449.85","49,452"
13-Jun-2023,EQ,185.0,194.7,182.0,194.85,193.35,193.95,189.89,287.0,175.55,"47,047,273","8,933,665,894.00","167,111"
12-Jun-2023,EQ,194.95,196.4,192.65,194.05,195.05,194.85,194.96,287.0,175.55,"3,190,269","621,972,374.80","23,481"
09-Jun-2023,EQ,197.55,198.45,193.5,196.15,193.8,194.05,195.51,287.0,175.55,"3,658,281","715,247,087.05","24,047"
08-Jun-2023,EQ,201.3,201.4,195.95,201.05,196.5,196.15,197.62,287.0,175.55,"5,052,298","998,432,822.90","41,624"
07-Jun-2023,EQ,199.0,201.95,197.85,197.8,200.5,201.05,200.52,287.0,175.55,"5,766,845","1,156,363,087.70","40,269"
06-Jun-2023,EQ,201.35,201.35,196.75,201.2,197.7,197.8,198.17,287.0,175.55,"9,164,050","1,816,065,243.35","37,596"
05-Jun-2023,EQ,194.0,202.5,193.75,193.5,200.35,201.2,200.06,287.0,175.55,"15,642,875","3,129,521,056.55","92,333"
02-Jun-2023,EQ,193.2,195.0,192.45,192.15,193.5,193.5,193.62,287.0,175.55,"2,544,046","492,589,890.95","18,652"
01-Jun-2023,EQ,195.0,196.75,191.6,195.05,192.5,192.15,193.54,287.0,175.55,"5,210,400","1,008,402,450.95","30,814"
31-May-2023,EQ,194.45,196.8,193.0,195.1,195.2,195.05,195.41,287.0,175.55,"9,334,255","1,824,041,351.60","30,346"
30-May-2023,EQ,192.45,196.6,191.25,192.45,194.95,195.1,194.64,287.0,175.55,"8,735,276","1,700,202,695.85","47,015"
29-May-2023,EQ,192.0,194.7,190.35,190.8,192.35,192.45,192.51,287.0,175.55,"9,569,139","1,842,160,019.40","51,400"
26-May-2023,EQ,175.55,192.9,175.55,178.85,190.6,190.8,187.15,287.0,175.55,"46,839,577","8,765,971,700.90","207,840"
25-May-2023,EQ,180.95,182.05,177.75,180.8,178.65,178.85,179.46,287.0,176.55,"8,412,284","1,509,685,622.30","75,773"
24-May-2023,EQ,183.5,184.9,180.2,183.5,180.6,180.8,182.5,287.0,176.55,"6,669,607","1,217,185,758.70","47,111"
23-May-2023,EQ,185.1,186.0,183.2,185.8,183.3,183.5,184.47,287.0,176.55,"4,536,859","836,931,579.75","31,000"
22-May-2023,EQ,186.8,186.8,184.3,185.75,185.8,185.8,185.39,287.0,176.55,"2,713,133","503,000,302.35","19,616"
19-May-2023,EQ,187.4,189.6,183.65,185.15,185.55,185.75,186.53,287.0,176.55,"9,067,017","1,691,296,980.60","48,910"
18-May-2023,EQ,188.8,188.8,184.45,187.1,184.7,185.15,186.89,287.0,176.55,"3,634,991","679,357,470.20","23,639"
17-May-2023,EQ,190.0,190.0,184.35,189.1,186.9,187.1,186.95,287.0,176.55,"4,403,485","823,227,415.60","30,212"
16-May-2023,EQ,190.7,191.6,188.55,190.2,189.0,189.1,189.89,287.0,176.55,"3,757,570","713,513,076.75","35,580"
15-May-2023,EQ,188.0,191.2,185.2,186.2,190.2,190.2,188.64,287.0,176.55,"6,676,725","1,259,491,680.45","39,807"
12-May-2023,EQ,184.95,188.0,179.3,192.1,186.6,186.2,184.05,287.0,176.55,"27,560,297","5,072,471,589.70","117,754"
11-May-2023,EQ,193.3,193.85,191.4,192.75,192.4,192.1,192.3,287.0,176.55,"4,525,123","870,193,407.05","31,306"
10-May-2023,EQ,189.95,194.9,189.5,189.45,192.65,192.75,192.74,287.0,176.55,"6,722,726","1,295,724,909.90","43,468"
09-May-2023,EQ,191.95,192.85,189.0,191.4,189.8,189.45,190.41,287.0,176.55,"4,401,972","838,195,310.45","39,116"
08-May-2023,EQ,192.8,193.5,191.05,192.75,191.7,191.4,192.06,287.0,176.55,"5,736,049","1,101,678,863.15","32,509"
05-May-2023,EQ,194.0,194.95,190.6,195.1,192.4,192.75,192.9,287.0,176.55,"5,937,611","1,145,367,237.95","44,294"
04-May-2023,EQ,194.75,196.65,193.75,195.85,195.0,195.1,194.87,287.0,176.55,"5,880,935","1,145,998,094.80","37,826"
03-May-2023,EQ,195.0,197.4,194.4,196.35,195.7,195.85,195.72,287.0,176.55,"5,281,432","1,033,672,546.25","40,216"
02-May-2023,EQ,198.0,199.4,195.65,196.75,196.5,196.35,197.15,287.0,176.55,"7,601,216","1,498,614,605.65","51,051"
28-Apr-2023,EQ,188.1,197.9,188.1,186.15,197.25,196.75,194.56,287.0,176.55,"25,665,162","4,993,471,367.60","86,328"
27-Apr-2023,EQ,190.55,191.45,185.25,189.4,187.3,186.15,188.05,287.0,176.55,"17,670,756","3,323,011,492.55","55,730"
26-Apr-2023,EQ,187.25,191.6,183.55,187.25,189.2,189.4,188.21,287.0,176.55,"11,439,942","2,153,154,326.60","76,679"
25-Apr-2023,EQ,192.7,193.5,186.65,192.75,187.15,187.25,189.47,287.0,176.55,"12,370,487","2,343,874,510.85","66,596"
24-Apr-2023,EQ,195.95,196.8,191.65,195.95,192.85,192.75,193.25,287.0,176.55,"8,324,707","1,608,770,218.65","59,680"
21-Apr-2023,EQ,196.8,198.8,194.7,196.8,195.8,195.95,196.53,287.0,176.55,"5,468,727","1,074,796,007.25","36,169"
20-Apr-2023,EQ,199.0,200.0,193.8,198.05,196.8,196.8,196.72,287.0,176.55,"21,002,757","4,131,675,693.95","103,186"
19-Apr-2023,EQ,204.0,204.25,197.5,203.8,198.15,198.05,200.25,287.0,176.55,"13,033,724","2,610,006,159.70","63,673"
18-Apr-2023,EQ,205.5,207.35,203.2,203.85,203.95,203.8,205.03,287.0,176.55,"5,445,958","1,116,576,290.95","27,327"
17-Apr-2023,EQ,205.45,214.0,201.65,208.15,204.3,203.85,206.26,287.0,176.55,"17,026,157","3,511,845,501.30","70,570"
13-Apr-2023,EQ,212.45,212.45,202.9,211.6,208.95,208.15,206.88,292.4,176.55,"7,245,647","1,498,984,271.30","47,530"
12-Apr-2023,EQ,213.65,214.6,211.25,213.6,211.8,211.6,212.45,292.4,176.55,"3,651,067","775,662,146.45","23,171"
11-Apr-2023,EQ,212.5,216.2,211.8,211.45,213.7,213.6,214.2,292.4,176.55,"2,490,760","533,515,915.90","18,490"
10-Apr-2023,EQ,212.45,213.85,210.35,212.45,211.4,211.45,211.99,292.4,176.55,"1,862,218","394,771,774.35","11,336"
06-Apr-2023,EQ,214.1,214.35,211.05,214.05,212.45,212.45,212.31,308.7,176.55,"2,050,933","435,435,329.70","15,336"
05-Apr-2023,EQ,214.0,214.75,212.8,213.9,213.9,214.05,213.78,308.7,176.55,"1,650,303","352,795,664.85","19,982"
03-Apr-2023,EQ,213.0,214.9,211.85,212.25,213.75,213.9,213.5,308.7,176.55,"2,691,398","574,622,168.90","17,647"
31-Mar-2023,EQ,217.95,217.95,211.7,216.05,212.45,212.25,213.92,308.7,176.55,"6,250,236","1,337,028,109.45","43,841"
29-Mar-2023,EQ,209.0,219.65,208.45,208.8,215.2,216.05,214.62,308.7,176.55,"15,652,099","3,359,198,210.25","81,082"
28-Mar-2023,EQ,210.85,213.2,206.5,210.65,209.0,208.8,209.42,308.7,176.55,"5,241,239","1,097,614,762.30","35,671"
27-Mar-2023,EQ,211.15,215.9,210.0,211.75,210.9,210.65,213.07,308.7,176.55,"5,556,669","1,183,959,926.95","34,797"
24-Mar-2023,EQ,216.5,217.75,210.7,216.0,211.5,211.75,213.9,308.7,176.55,"6,462,530","1,382,325,742.40","35,725"
23-Mar-2023,EQ,213.55,219.0,212.35,214.5,215.55,216.0,216.23,308.7,176.55,"5,696,592","1,231,751,810.30","44,102"
22-Mar-2023,EQ,214.0,217.2,211.55,213.75,213.6,214.5,214.11,308.7,176.55,"5,994,903","1,283,549,644.75","39,000"
21-Mar-2023,EQ,206.9,215.35,206.5,206.9,213.05,213.75,212.17,308.7,176.55,"11,141,992","2,364,009,633.70","79,617"
20-Mar-2023,EQ,205.0,208.25,201.8,207.25,207.15,206.9,204.91,308.7,176.55,"9,491,163","1,944,811,975.90","52,105"
17-Mar-2023,EQ,205.85,209.15,198.2,206.7,206.05,207.25,202.69,308.7,176.55,"20,518,280","4,158,756,966.10","105,832"
