Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
26-Jun-2023,EQ,559.85,563.5,557.3,557.1,561.5,561.8,560.67,564.8,340.0,"685,429","384,298,753.65","20,016"
23-Jun-2023,EQ,552.1,561.3,547.9,552.9,557.0,557.1,555.69,564.8,329.8,"1,062,160","590,229,515.70","20,080"
22-Jun-2023,EQ,560.8,562.65,547.9,560.1,551.55,552.9,554.21,564.8,329.8,"484,665","268,605,970.80","25,277"
21-Jun-2023,EQ,557.4,564.8,552.3,556.05,561.3,560.1,560.35,564.8,329.8,"1,124,378","630,042,352.45","25,369"
20-Jun-2023,EQ,556.7,557.75,553.35,554.15,556.0,556.05,555.82,562.5,329.8,"643,193","357,497,893.80","18,300"
19-Jun-2023,EQ,551.05,562.5,551.05,551.05,555.3,554.15,556.1,562.5,329.8,"918,036","510,519,175.15","26,597"
16-Jun-2023,EQ,552.15,559.3,548.1,549.15,551.55,551.05,553.6,559.3,329.8,"1,620,321","897,008,645.10","32,828"
15-Jun-2023,EQ,535.0,550.0,533.05,532.35,548.85,549.15,543.74,550.0,329.8,"2,854,217","1,551,940,115.15","65,032"
14-Jun-2023,EQ,523.9,533.55,515.6,517.65,533.1,532.35,525.69,533.55,329.8,"3,017,132","1,586,071,059.35","56,039"
13-Jun-2023,EQ,510.9,519.1,508.5,510.0,518.0,517.65,515.88,530.85,329.8,"1,471,514","759,125,207.05","40,654"
12-Jun-2023,EQ,511.0,512.95,504.0,507.75,510.25,510.0,507.37,530.85,329.8,"756,873","384,017,177.25","18,456"
09-Jun-2023,EQ,513.0,516.7,506.0,512.95,508.0,507.75,510.77,530.85,329.8,"648,256","331,112,068.55","30,347"
08-Jun-2023,EQ,518.9,520.5,510.3,515.1,513.25,512.95,514.83,530.85,329.8,"1,002,681","516,214,103.20","20,391"
07-Jun-2023,EQ,515.45,518.75,512.75,515.45,514.7,515.1,514.94,530.85,329.8,"831,746","428,298,648.40","16,530"
06-Jun-2023,EQ,511.25,516.75,509.45,510.1,515.45,515.45,513.32,530.85,329.8,"835,026","428,633,797.80","21,132"
05-Jun-2023,EQ,523.4,523.6,508.0,518.0,510.0,510.1,512.82,530.85,329.8,"914,296","468,873,360.70","20,778"
02-Jun-2023,EQ,513.5,520.85,513.4,513.4,518.0,518.0,518.54,530.85,329.8,"1,418,223","735,407,162.50","38,104"
01-Jun-2023,EQ,502.3,514.4,500.8,502.3,512.15,513.4,507.91,530.85,329.8,"888,694","451,378,134.00","25,101"
31-May-2023,EQ,507.0,510.6,498.85,505.75,501.95,502.3,502.51,530.85,329.8,"1,103,206","554,367,546.10","25,509"
30-May-2023,EQ,510.0,516.75,504.75,512.05,506.65,505.75,509.53,530.85,329.8,"468,836","238,884,877.90","16,249"
29-May-2023,EQ,508.95,514.0,507.05,508.25,512.0,512.05,510.51,530.85,329.8,"489,946","250,121,763.30","15,205"
26-May-2023,EQ,508.0,513.75,504.3,505.7,508.0,508.25,508.56,530.85,329.8,"977,223","496,973,043.90","19,933"
25-May-2023,EQ,503.95,508.5,499.5,503.95,507.3,505.7,504.41,530.85,329.8,"963,307","485,901,307.30","26,581"
24-May-2023,EQ,507.45,509.5,502.85,507.45,504.95,503.95,505.43,530.85,329.8,"775,925","392,178,866.65","27,326"
23-May-2023,EQ,509.95,513.3,506.1,506.25,507.0,507.45,509.43,530.85,329.8,"943,626","480,714,377.90","19,856"
22-May-2023,EQ,484.95,512.0,484.95,494.7,505.2,506.25,504.92,530.85,329.8,"1,230,046","621,071,940.35","26,088"
19-May-2023,EQ,511.0,514.75,491.45,508.05,497.65,494.7,498.26,530.85,329.8,"3,144,835","1,566,951,346.60","41,775"
18-May-2023,EQ,520.0,522.8,505.9,518.8,507.95,508.05,514.29,530.85,329.8,"3,376,633","1,736,562,253.70","51,449"
17-May-2023,EQ,515.5,520.0,513.55,516.1,518.0,518.8,517.44,530.85,329.8,"414,331","214,390,018.20","15,137"
16-May-2023,EQ,518.0,522.0,515.0,517.75,515.05,516.1,518.94,530.85,329.8,"352,447","182,897,976.75","15,876"
15-May-2023,EQ,513.6,519.35,512.5,513.6,517.0,517.75,516.57,530.85,329.8,"532,092","274,863,018.35","19,949"
12-May-2023,EQ,513.4,520.9,504.0,513.75,513.5,513.6,515.5,530.85,319.0,"1,015,662","523,573,914.05","21,331"
11-May-2023,EQ,529.0,529.0,511.6,525.6,513.45,513.75,517.89,530.85,319.0,"1,233,986","639,063,706.50","43,456"
10-May-2023,EQ,524.95,528.7,521.6,524.95,525.25,525.6,526.44,530.85,319.0,"904,802","476,319,910.20","23,874"
09-May-2023,EQ,525.3,530.85,521.5,525.4,525.4,524.95,526.93,530.85,319.0,"1,042,675","549,419,545.35","24,289"
08-May-2023,EQ,517.2,526.25,516.0,517.0,525.3,525.4,521.14,528.0,319.0,"661,439","344,703,818.95","15,992"
05-May-2023,EQ,522.6,524.6,514.8,520.05,517.1,517.0,518.73,528.0,319.0,"451,811","234,368,582.95","23,577"
04-May-2023,EQ,521.0,523.2,516.05,520.75,519.0,520.05,519.6,528.0,319.0,"530,332","275,559,306.75","14,227"
03-May-2023,EQ,516.0,523.25,513.95,516.95,521.0,520.75,520.58,528.0,319.0,"506,509","263,676,345.55","14,377"
02-May-2023,EQ,519.9,528.0,501.85,519.9,516.6,516.95,520.45,528.0,319.0,"1,269,429","660,672,636.90","31,854"
28-Apr-2023,EQ,515.0,520.85,514.95,514.65,520.55,519.9,518.5,524.3,319.0,"428,231","222,038,657.00","14,192"
27-Apr-2023,EQ,516.75,518.85,509.3,516.7,513.4,514.65,513.32,524.3,319.0,"865,434","444,243,815.05","13,101"
26-Apr-2023,EQ,518.65,521.25,515.0,518.65,515.25,516.7,518.84,524.3,319.0,"385,699","200,115,422.25","13,096"
25-Apr-2023,EQ,515.25,519.9,513.3,516.95,518.45,518.65,516.81,524.3,319.0,"639,723","330,613,437.00","17,648"
