"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"25-Jun-2021","EQ","2,415.00","2,442.00","2,394.05","2,398.85","2,415.15","2,423.15","2,419.07","2,505.75","1,166.00","766,422","1,854,028,659.70","41,809"
"24-Jun-2021","EQ","2,432.55","2,441.60","2,386.40","2,432.55","2,401.05","2,398.85","2,406.29","2,505.75","1,166.00","898,667","2,162,453,173.95","46,974"
"23-Jun-2021","EQ","2,445.15","2,505.75","2,421.25","2,446.30","2,425.40","2,432.55","2,460.09","2,505.75","1,166.00","1,929,439","4,746,584,892.50","88,639"
"22-Jun-2021","EQ","2,341.00","2,494.45","2,341.00","2,321.40","2,442.20","2,446.30","2,445.73","2,494.45","1,166.00","3,670,120","8,976,133,646.20","163,883"
"21-Jun-2021","EQ","2,190.00","2,336.00","2,185.00","2,236.50","2,335.00","2,321.40","2,274.79","2,336.00","1,166.00","1,648,626","3,750,279,250.55","75,663"
"18-Jun-2021","EQ","2,170.00","2,255.00","2,118.50","2,163.10","2,245.00","2,236.50","2,190.60","2,331.00","1,015.05","1,403,778","3,075,119,582.30","69,852"
"17-Jun-2021","EQ","2,194.90","2,222.20","2,142.00","2,210.65","2,165.95","2,163.10","2,182.10","2,331.00","1,015.05","865,679","1,888,998,069.20","43,162"
"16-Jun-2021","EQ","2,233.85","2,244.00","2,191.00","2,217.05","2,207.00","2,210.65","2,222.05","2,331.00","1,015.05","679,546","1,509,983,723.70","34,058"
"15-Jun-2021","EQ","2,232.00","2,268.60","2,201.05","2,218.60","2,219.00","2,217.05","2,230.98","2,331.00","1,015.05","892,965","1,992,187,973.85","38,017"
"14-Jun-2021","EQ","2,252.90","2,252.90","2,161.00","2,252.80","2,221.65","2,218.60","2,205.77","2,331.00","1,015.05","944,837","2,084,096,079.45","45,512"
"11-Jun-2021","EQ","2,188.00","2,331.00","2,180.95","2,195.95","2,256.00","2,252.80","2,279.80","2,331.00","990.00","3,401,862","7,755,573,498.45","161,007"
